,Total_Associations,Positive_WithinGenus,Negative_WithinGenus,Positive_WithinFamily,Negative_WithinFamily,Positive_WithinOrder,Negative_WithinOrder,Positive_WithinClass,Negative_WithinClass,Positive_WithinPhylum,Negative_WithinPhylum,Positive_OutsidePhylum,Negative_OutsidePhylum
268,292,14.0,0.0,18,0.0,76,4.0,0.0,0.0,41,0.0,135,4.0
269,292,6.0,0.0,28,0.0,74,6.0,0.0,0.0,52,1.0,124,1.0
270,292,8.0,1.0,27,0.0,69,3.0,0.0,0.0,48,1.0,132,3.0
271,292,8.0,0.0,22,0.0,83,3.0,0.0,0.0,47,1.0,124,4.0
272,292,7.0,0.0,24,1.0,73,4.0,1.0,0.0,49,2.0,130,1.0
273,292,6.0,0.0,21,1.0,63,3.0,1.0,0.0,53,2.0,140,2.0
274,292,9.0,0.0,27,0.0,82,4.0,1.0,0.0,47,3.0,118,1.0
275,292,9.0,1.0,30,0.0,70,4.0,1.0,0.0,43,0.0,131,3.0
276,292,9.0,0.0,26,0.0,65,4.0,0.0,0.0,52,3.0,132,1.0
277,292,7.0,0.0,25,0.0,75,2.0,0.0,0.0,63,2.0,114,4.0
278,292,13.0,0.0,31,1.0,65,2.0,0.0,0.0,51,2.0,124,3.0
279,292,8.0,0.0,32,1.0,79,5.0,1.0,0.0,44,0.0,120,2.0
280,292,3.0,0.0,31,0.0,82,1.0,0.0,0.0,52,1.0,116,6.0
281,292,8.0,0.0,18,2.0,82,2.0,1.0,0.0,50,1.0,125,3.0
282,292,8.0,0.0,19,0.0,67,3.0,1.0,0.0,50,3.0,139,2.0
283,292,9.0,0.0,27,3.0,77,2.0,0.0,0.0,56,2.0,115,1.0
284,292,12.0,0.0,23,1.0,75,4.0,0.0,0.0,46,1.0,128,2.0
285,292,6.0,0.0,23,0.0,81,1.0,0.0,0.0,48,3.0,126,4.0
286,292,7.0,0.0,24,0.0,65,4.0,0.0,0.0,55,1.0,133,3.0
287,292,8.0,0.0,29,1.0,54,1.0,0.0,0.0,58,2.0,135,4.0
288,292,11.0,1.0,30,0.0,76,3.0,0.0,0.0,47,0.0,120,4.0
289,292,8.0,0.0,23,0.0,74,2.0,1.0,0.0,55,3.0,123,3.0
290,292,6.0,1.0,31,0.0,72,0.0,0.0,0.0,53,2.0,122,5.0
291,292,8.0,0.0,27,1.0,80,2.0,1.0,0.0,48,3.0,120,2.0
292,292,8.0,0.0,21,0.0,71,1.0,0.0,0.0,60,0.0,124,7.0
293,292,6.0,0.0,22,0.0,60,2.0,0.0,0.0,57,3.0,139,3.0
294,292,9.0,0.0,32,3.0,72,0.0,0.0,0.0,45,2.0,126,3.0
295,292,12.0,0.0,20,0.0,70,2.0,1.0,0.0,51,2.0,130,4.0
296,292,4.0,1.0,23,2.0,83,1.0,0.0,0.0,50,1.0,124,3.0
297,292,9.0,0.0,23,1.0,74,2.0,0.0,0.0,57,2.0,121,3.0
